content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Saya suka dengan shoope, tapi tolong untuk ekspedisi SPX diperbaiki, lama bangeet. Masa iya udah mau 10 hari nggak nyampe2, padahal udah pilih pengiriman reguler tapi lama kayak pengiriman hemat, untuk ke tampat saya biasanya kalau pakai j&t paling lama 7 hari. Mau ubah ekspedisi tapi gak bisa krn COD. Tolong dong shoope perbaiki!!!",3,,saya suka dengan shoope tapi tolong untuk ekspedisi spx diperbaiki lama bangeet masa iya udah mau  hari nggak nyampe padahal udah pilih pengiriman reguler tapi lama kayak pengiriman hemat untuk ke tampat saya biasanya kalau pakai jt paling lama  hari mau ubah ekspedisi tapi gak bisa krn cod tolong dong shoope perbaiki,suka shoope tolong ekspedisi spx diperbaiki bangeet iya udah nggak nyampe udah pilih pengiriman reguler kayak pengiriman hemat tampat pakai jt ubah ekspedisi gak krn cod tolong shoope perbaiki,"['suka', 'shoope', 'tolong', 'ekspedisi', 'spx', 'diperbaiki', 'bangeet', 'iya', 'udah', 'nggak', 'nyampe', 'udah', 'pilih', 'pengiriman', 'reguler', 'kayak', 'pengiriman', 'hemat', 'tampat', 'pakai', 'jt', 'ubah', 'ekspedisi', 'gak', 'krn', 'cod', 'tolong', 'shoope', 'perbaiki']",suka shoope tolong ekspedisi spx baik bangeet iya udah nggak nyampe udah pilih kirim reguler kayak kirim hemat tampat pakai jt ubah ekspedisi gak krn cod tolong shoope baik
"SEMOGA DITANGGAPI : Mohon untuk lebih selektip lagi dalam perihal kerja sama dengan ekspedisi. Terjadi keterlambatan sampai 2 hari ,bukan ada konvensasi pengganti keterlambatan berupa voucher. Namun mesti dilihat juga costumer CO pun ngitung waktu pengirimannya. Ada beberapa yg emang perlu pas tanggal estimasi di gunakan. Dalam kasus ini barang udah di pick tgl 16 jam 9 pagi, tahu² ada notif gagal kirim di jam 9 malam. 12 jam barang ""jalan²"".yg akhirnya dikirim besoknya.",5,Positif,semoga ditanggapi  mohon untuk lebih selektip lagi dalam perihal kerja sama dengan ekspedisi terjadi keterlambatan sampai  hari bukan ada konvensasi pengganti keterlambatan berupa voucher namun mesti dilihat juga costumer co pun ngitung waktu pengirimannya ada beberapa yg emang perlu pas tanggal estimasi di gunakan dalam kasus ini barang udah di pick tgl  jam  pagi tahu ada notif gagal kirim di jam  malam  jam barang jalanyg akhirnya dikirim besoknya,semoga ditanggapi mohon selektip perihal kerja ekspedisi keterlambatan konvensasi pengganti keterlambatan voucher mesti costumer co ngitung pengirimannya yg emang pas tanggal estimasi barang udah pick tgl jam pagi notif gagal kirim jam malam jam barang jalanyg dikirim besoknya,"['semoga', 'ditanggapi', 'mohon', 'selektip', 'perihal', 'kerja', 'ekspedisi', 'keterlambatan', 'konvensasi', 'pengganti', 'keterlambatan', 'voucher', 'mesti', 'costumer', 'co', 'ngitung', 'pengirimannya', 'yg', 'emang', 'pas', 'tanggal', 'estimasi', 'barang', 'udah', 'pick', 'tgl', 'jam', 'pagi', 'notif', 'gagal', 'kirim', 'jam', 'malam', 'jam', 'barang', 'jalanyg', 'dikirim', 'besoknya']",moga tanggap mohon selektip perihal kerja ekspedisi lambat konvensasi ganti lambat voucher mesti costumer co ngitung kirim yg emang pas tanggal estimasi barang udah pick tgl jam pagi notif gagal kirim jam malam jam barang jalanyg kirim besok
"Sekarang lemot banget, respon lama, tombol back lola, jadi males buka nya... Update coment baru nih, makin buruk, baru buka aplikasi masih ok, halaman kebuka lancar, setelah masuk ke toko atau ke etalase halaman putih semua ga da gambar padahal speed internet kenceng ram lega memori lega... Kenapa???????????????? Bener2 buruk.........tambahan lagi nih,update sekarang buat scrol susah,harus di tengah2 baru bisa scoll....hadeh...hadeh...tambah buruk",1,Negatif,sekarang lemot banget respon lama tombol back lola jadi males buka nya update coment baru nih makin buruk baru buka aplikasi masih ok halaman kebuka lancar setelah masuk ke toko atau ke etalase halaman putih semua ga da gambar padahal speed internet kenceng ram lega memori lega kenapa bener buruktambahan lagi nihupdate sekarang buat scrol susahharus di tengah baru bisa scollhadehhadehtambah buruk,lemot banget respon tombol back lola males buka nya update coment nih buruk buka aplikasi ok halaman kebuka lancar masuk toko etalase halaman putih ga da gambar speed internet kenceng ram lega memori lega bener buruktambahan nihupdate scrol susahharus scollhadehhadehtambah buruk,"['lemot', 'banget', 'respon', 'tombol', 'back', 'lola', 'males', 'buka', 'nya', 'update', 'coment', 'nih', 'buruk', 'buka', 'aplikasi', 'ok', 'halaman', 'kebuka', 'lancar', 'masuk', 'toko', 'etalase', 'halaman', 'putih', 'ga', 'da', 'gambar', 'speed', 'internet', 'kenceng', 'ram', 'lega', 'memori', 'lega', 'bener', 'buruktambahan', 'nihupdate', 'scrol', 'susahharus', 'scollhadehhadehtambah', 'buruk']",lot banget respon tombol back lola males buka nya update coment nih buruk buka aplikasi ok halaman buka lancar masuk toko etalase halaman putih ga da gambar speed internet kenceng ram lega memori lega bener buruktambahan nihupdate scrol susahharus scollhadehhadehtambah buruk
"Sekarang pengirimannya lama banget. Sebelum2nya 3 atau 4 hari biasnya pesenan udh sampe ke pembeli, tapi sekarang pengiriman bisa lebih dari 5 hari bahkan seminggu. Tolong ya utk ekspedisi pengiriman diperbaiki! Karna sekarang udh gabisa milih mau pake jnt atau spx, sekarang pengrimannya rekomendasi dari shopee jadi langsung otomatis pake spx, yg mana kalo pake spx itu LAMAAA BANGETTT COKKK! walaupun belinya bukan di hari event!",3,,sekarang pengirimannya lama banget sebelumnya  atau  hari biasnya pesenan udh sampe ke pembeli tapi sekarang pengiriman bisa lebih dari  hari bahkan seminggu tolong ya utk ekspedisi pengiriman diperbaiki karna sekarang udh gabisa milih mau pake jnt atau spx sekarang pengrimannya rekomendasi dari shopee jadi langsung otomatis pake spx yg mana kalo pake spx itu lamaaa bangettt cokkk walaupun belinya bukan di hari event,pengirimannya banget biasnya pesenan udh sampe pembeli pengiriman seminggu tolong ya utk ekspedisi pengiriman diperbaiki karna udh gabisa milih pake jnt spx pengrimannya rekomendasi shopee langsung otomatis pake spx yg kalo pake spx lamaaa bangettt cokkk belinya event,"['pengirimannya', 'banget', 'biasnya', 'pesenan', 'udh', 'sampe', 'pembeli', 'pengiriman', 'seminggu', 'tolong', 'ya', 'utk', 'ekspedisi', 'pengiriman', 'diperbaiki', 'karna', 'udh', 'gabisa', 'milih', 'pake', 'jnt', 'spx', 'pengrimannya', 'rekomendasi', 'shopee', 'langsung', 'otomatis', 'pake', 'spx', 'yg', 'kalo', 'pake', 'spx', 'lamaaa', 'bangettt', 'cokkk', 'belinya', 'event']",kirim banget bias sen udh sampe beli kirim minggu tolong ya utk ekspedisi kirim baik karna udh gabisa milih pake jnt spx rim rekomendasi shopee langsung otomatis pake spx yg kalo pake spx lamaaa bangettt cokkk beli event
"shopee sekarang meskipun ada vocher kaya nggada bedanya, harus ada biaya layanan lah penanganan lah, belum lagi gratis ongkir harus ada minimal pembelian, pengiriman super lama, padahal cuma dari kota sebelah bisa sampe seminggu baru dateng, kek plislahh, kalo banyak biaya tambahan harusnya lebih nyaman belanjanya, saya pribadi sebagai pembeli merasa dirugikan.. mohon ditingkatkan kualitas online shopenya, jangan cuma biayanya yang dinaikan🙂👍",2,Negatif,shopee sekarang meskipun ada vocher kaya nggada bedanya harus ada biaya layanan lah penanganan lah belum lagi gratis ongkir harus ada minimal pembelian pengiriman super lama padahal cuma dari kota sebelah bisa sampe seminggu baru dateng kek plislahh kalo banyak biaya tambahan harusnya lebih nyaman belanjanya saya pribadi sebagai pembeli merasa dirugikan mohon ditingkatkan kualitas online shopenya jangan cuma biayanya yang dinaikan,shopee vocher kaya nggada bedanya biaya layanan penanganan gratis ongkir minimal pembelian pengiriman super kota sebelah sampe seminggu dateng kek plislahh kalo biaya tambahan nyaman belanjanya pribadi pembeli dirugikan mohon ditingkatkan kualitas online shopenya biayanya dinaikan,"['shopee', 'vocher', 'kaya', 'nggada', 'bedanya', 'biaya', 'layanan', 'penanganan', 'gratis', 'ongkir', 'minimal', 'pembelian', 'pengiriman', 'super', 'kota', 'sebelah', 'sampe', 'seminggu', 'dateng', 'kek', 'plislahh', 'kalo', 'biaya', 'tambahan', 'nyaman', 'belanjanya', 'pribadi', 'pembeli', 'dirugikan', 'mohon', 'ditingkatkan', 'kualitas', 'online', 'shopenya', 'biayanya', 'dinaikan']",shopee vocher kaya nggada beda biaya layan tangan gratis ongkir minimal beli kirim super kota belah sampe minggu dateng kek plislahh kalo biaya tambah nyaman belanja pribadi beli rugi mohon tingkat kualitas online shopenya biaya naik
"Shopee tambah tidak bagus dulu bisa milih jasa kirim sekarang otomatis akhirnya pengiriman sangat lambat. Saya pesan 2 barang berbeda dihari yang sama tapi shopee otomatis memilih kurir berbeda satu J&t dan satu SPX. Yang J&t udah sampai 1 minggu yang lalu SPX sampai sekarang belum sampai padahal sudah lewat estimasi. Cukup kecewa dengan shopee yang sekarang tidak bisa pilih jasa pengiriman, semoga kedepannya bisa diperbaiki.",1,Negatif,shopee tambah tidak bagus dulu bisa milih jasa kirim sekarang otomatis akhirnya pengiriman sangat lambat saya pesan  barang berbeda dihari yang sama tapi shopee otomatis memilih kurir berbeda satu jt dan satu spx yang jt udah sampai  minggu yang lalu spx sampai sekarang belum sampai padahal sudah lewat estimasi cukup kecewa dengan shopee yang sekarang tidak bisa pilih jasa pengiriman semoga kedepannya bisa diperbaiki,shopee bagus milih jasa kirim otomatis pengiriman lambat pesan barang berbeda dihari shopee otomatis memilih kurir berbeda jt spx jt udah minggu spx estimasi kecewa shopee pilih jasa pengiriman semoga kedepannya diperbaiki,"['shopee', 'bagus', 'milih', 'jasa', 'kirim', 'otomatis', 'pengiriman', 'lambat', 'pesan', 'barang', 'berbeda', 'dihari', 'shopee', 'otomatis', 'memilih', 'kurir', 'berbeda', 'jt', 'spx', 'jt', 'udah', 'minggu', 'spx', 'estimasi', 'kecewa', 'shopee', 'pilih', 'jasa', 'pengiriman', 'semoga', 'kedepannya', 'diperbaiki']",shopee bagus milih jasa kirim otomatis kirim lambat pesan barang beda hari shopee otomatis pilih kurir beda jt spx jt udah minggu spx estimasi kecewa shopee pilih jasa kirim moga depan baik
"Makin kesini makin berat nih apk nya, terjadi kesalahan, tidak terhubung dll padahal WiFi lancar bgt (20mbps),Hh juga Ram 4+3Gb. Opsi pengiriman hanya yg rekomendasi shopee baru voucher gratis ongkir bisa di gunakan,kalau ganti jaskim lain voucher tidak berlaku. Mau pake versi lite opsi pengiriman,opsi pembayaran spay, tracking paket tidak ada.🥱😔😔 Makin kesini makin ribet, dan ruwet Lama² pindah server.",1,Negatif,makin kesini makin berat nih apk nya terjadi kesalahan tidak terhubung dll padahal wifi lancar bgt mbpshh juga ram gb opsi pengiriman hanya yg rekomendasi shopee baru voucher gratis ongkir bisa di gunakankalau ganti jaskim lain voucher tidak berlaku mau pake versi lite opsi pengirimanopsi pembayaran spay tracking paket tidak ada makin kesini makin ribet dan ruwet lama pindah server,kesini berat nih apk nya kesalahan terhubung dll wifi lancar bgt mbpshh ram gb opsi pengiriman yg rekomendasi shopee voucher gratis ongkir gunakankalau ganti jaskim voucher berlaku pake versi lite opsi pengirimanopsi pembayaran spay tracking paket kesini ribet ruwet pindah server,"['kesini', 'berat', 'nih', 'apk', 'nya', 'kesalahan', 'terhubung', 'dll', 'wifi', 'lancar', 'bgt', 'mbpshh', 'ram', 'gb', 'opsi', 'pengiriman', 'yg', 'rekomendasi', 'shopee', 'voucher', 'gratis', 'ongkir', 'gunakankalau', 'ganti', 'jaskim', 'voucher', 'berlaku', 'pake', 'versi', 'lite', 'opsi', 'pengirimanopsi', 'pembayaran', 'spay', 'tracking', 'paket', 'kesini', 'ribet', 'ruwet', 'pindah', 'server']",kesini berat nih apk nya salah hubung dll wifi lancar bgt mbpshh ram gb opsi kirim yg rekomendasi shopee voucher gratis ongkir gunakankalau ganti jaskim voucher laku pake versi lite opsi pengirimanopsi bayar spay tracking paket kesini ribet ruwet pindah server
"Bisa ngga iklannya ga sampe mengganggu orang gitu na Apaan coba sampe langsung buka aplikasinya dari iklan itu mengganggu banget, bisa kn hanya d cancel gtu aja hilang iklannya, d cancel malah masuk d aplikasi apaan coba, orang lain juga punya kesibukan. Silahkan bikin iklan tapi Janggan sampe menjengkelkan bgtu. Terlalu banyak iklan yg lain tapi d cancel hilang, ini kalau shopee beda.. di pikir kita tiap hari belajar ga ada kerjaan lain apa.",1,Negatif,bisa ngga iklannya ga sampe mengganggu orang gitu na apaan coba sampe langsung buka aplikasinya dari iklan itu mengganggu banget bisa kn hanya d cancel gtu aja hilang iklannya d cancel malah masuk d aplikasi apaan coba orang lain juga punya kesibukan silahkan bikin iklan tapi janggan sampe menjengkelkan bgtu terlalu banyak iklan yg lain tapi d cancel hilang ini kalau shopee beda di pikir kita tiap hari belajar ga ada kerjaan lain apa,ngga iklannya ga sampe mengganggu orang gitu na coba sampe langsung buka aplikasinya iklan mengganggu banget kn d cancel gtu aja hilang iklannya d cancel masuk d aplikasi coba orang kesibukan silahkan bikin iklan janggan sampe menjengkelkan bgtu iklan yg d cancel hilang shopee beda pikir belajar ga kerjaan,"['ngga', 'iklannya', 'ga', 'sampe', 'mengganggu', 'orang', 'gitu', 'na', 'coba', 'sampe', 'langsung', 'buka', 'aplikasinya', 'iklan', 'mengganggu', 'banget', 'kn', 'd', 'cancel', 'gtu', 'aja', 'hilang', 'iklannya', 'd', 'cancel', 'masuk', 'd', 'aplikasi', 'coba', 'orang', 'kesibukan', 'silahkan', 'bikin', 'iklan', 'janggan', 'sampe', 'menjengkelkan', 'bgtu', 'iklan', 'yg', 'd', 'cancel', 'hilang', 'shopee', 'beda', 'pikir', 'belajar', 'ga', 'kerjaan']",ngga iklan ga sampe ganggu orang gitu na coba sampe langsung buka aplikasi iklan ganggu banget kn d cancel gtu aja hilang iklan d cancel masuk d aplikasi coba orang sibuk silah bikin iklan janggan sampe jengkel bgtu iklan yg d cancel hilang shopee beda pikir ajar ga kerja
"Notifikasi dikembalikan ke semula saja yang ada jumlahnya. Jangan cuma simbol titik. Menurut saya kurang menarik, apalagi notifikasi terpenting ada pada notifikasi toko. Jadi untuk meyakinkan kalau ada tidaknya notifikasi harus ke notifikasi toko terlebih dahulu",5,Positif,notifikasi dikembalikan ke semula saja yang ada jumlahnya jangan cuma simbol titik menurut saya kurang menarik apalagi notifikasi terpenting ada pada notifikasi toko jadi untuk meyakinkan kalau ada tidaknya notifikasi harus ke notifikasi toko terlebih dahulu,notifikasi dikembalikan simbol titik menarik notifikasi terpenting notifikasi toko tidaknya notifikasi notifikasi toko,"['notifikasi', 'dikembalikan', 'simbol', 'titik', 'menarik', 'notifikasi', 'terpenting', 'notifikasi', 'toko', 'tidaknya', 'notifikasi', 'notifikasi', 'toko']",notifikasi kembali simbol titik tarik notifikasi penting notifikasi toko tidak notifikasi notifikasi toko
"Sangat memudahkan untuk berbelanja online di Shopee dan sangat bagus. Tapi sangat disayangkan sekali menu utama Shopee untuk hari ini susah dibuka, ada notifikasi (periksa jaringan internet anda) padahal jaringan hotspot/wifi sangat bagus..tapi kenapa tidak bisa dibuka.. Tolong diperbaiki lagi aplikasi Shopee in8 serta game Shopee'nya karna sangat menghibur Terima-kasih",5,Positif,sangat memudahkan untuk berbelanja online di shopee dan sangat bagus tapi sangat disayangkan sekali menu utama shopee untuk hari ini susah dibuka ada notifikasi periksa jaringan internet anda padahal jaringan hotspotwifi sangat bagustapi kenapa tidak bisa dibuka tolong diperbaiki lagi aplikasi shopee in serta game shopeenya karna sangat menghibur terimakasih,memudahkan berbelanja online shopee bagus disayangkan menu utama shopee susah dibuka notifikasi periksa jaringan internet jaringan hotspotwifi bagustapi dibuka tolong diperbaiki aplikasi shopee in game shopeenya karna menghibur terimakasih,"['memudahkan', 'berbelanja', 'online', 'shopee', 'bagus', 'disayangkan', 'menu', 'utama', 'shopee', 'susah', 'dibuka', 'notifikasi', 'periksa', 'jaringan', 'internet', 'jaringan', 'hotspotwifi', 'bagustapi', 'dibuka', 'tolong', 'diperbaiki', 'aplikasi', 'shopee', 'in', 'game', 'shopeenya', 'karna', 'menghibur', 'terimakasih']",mudah belanja online shopee bagus sayang menu utama shopee susah buka notifikasi periksa jaring internet jaring hotspotwifi bagustapi buka tolong baik aplikasi shopee in game shopeenya karna hibur terimakasih
