content,score,Label
"duh..apa lagi ini ..mkin d upgrade .mkin parah pelayanan...smenjak expedisi Gak bisa di ganti,paket rawan bgt hilang...1 bulan ini aja,pket saya 2x hilang .dan itu spx!!! Padahal status brg sudah d kota tujuan 🤬😤 Tolong dong d perhatikan lagi pekrja² anda ..byk oknum yg nakal n bermain d saat event.soerti nya Sudah menjadi langganan kalau event pket ada saja yg hilang.mgkn mreka tahu itu barang hasil co promo n disc gede²an.bner² gak ngerti lagi saya .suara kami yg mana yg d dgar .",1,Negatif
"Kecewa makin lama Pelayanan buruk apa lgi jasa pengirimnya lebih dri 2 minggu dri batas estimasi pengiriman pesanan tidak kunjung sampai padhal sudah dalam kota tinggal di bawa kurir tpi tidak kunjung dibawa kurir dan alhasil barang dikembalikan ke penjual. gk ad kompensasi pula, saya beri solusi untuk ngambil sndiri juga gk bisa, jadinya buang² waktu!!!! Tolong dong jasa pengiriman Shopee Express ditingkatkan lgi!!",1,Negatif
"suka banget dengan upgrade pembatalan pembelian yg mana setelah klik uang langsung masuk tanpa menunggu♥️♥️♥️ Buka rincian beli token pln nunggunya seabad keburu kiamat karena ""masih downloading"" & 0% ga nambah-nambah🤷",1,Negatif
"shopee makin lama aja proses pengirimannya. Dulu mah tgl 1 pesen, tanggal 3 atau tgl 4 nya udah nyampe. Sekarang enggak. Bln September ini contohnya. Order produk di shopee mau itu mall best seller ato biasa minim nyampenya 1 Minggu. Bener² parah",1,Negatif
"Sedikit kesal, karna g pesan barang malah ada pihak toko yg kirim barang atas nama dan alamat, giliran di batalin, malah akun shoope g bisa COD.... Kecewa benar, sekarang g bisa COD... Kalau g bisa CoD yh pindah aplikasi saja",4,Positif
"Saya kecewa selama ini download toko online lain yang ternyata penipuan,mahal,dan kurir yang kurang sopan.Eh ternyata ada aplikasi toko online yang bisa mengatasi semua itu yaitu aplikasi shopee,aplikasi shopee memberikan saya yang terbaik mulai dari kurir hingga flash sale jika di shopee saya tidak mempunyai uang saya bisa menggunakan koin saya ataupun memakai voucher beli sekarang bayarnya nanti,semanjak ada nya cod cek dulu hati saya semakin tenang dalam membeli sesuatu dari shopee. Sekian:D",5,Positif
"Asli aplikasi lemot banget, mau ganti nomor aja harus nunggu proses lamaaaa padahal jaringan bagus. Belum lagi kalau lihat2 gambar, terbukanya lama. Padahal udah pake versi terbaru",4,Positif
"Kalo aku kasih bintang 5 pasti ga dibaca. Kalo tanya ke CS pun robot yg jawab. Misal pelanggan shopee belanja suatu barang sistem lunas di awal (bukan COD) tapi barang ga kunjung datang (karena barang hilang diperjalanan) sampai akhirnya uang dikembalikan utuh oleh pihak shopee. Setelah sekian lama, Tiba tiba suatu hari barang itu datang diantar kurir. Karena tulisannya bukan COD, maka kurir cuma drop barang lalu pergi. Trus bagaimana min? Apakah barang itu jadi hadiah saja untuk pelanggan?mksh",1,Negatif
"Aplikasi shopee sangat memberikan kemudahan bagi saya untuk berbelanja online, fitur-fiturnya sangat mudah digunakan dan sangat user friendly. Aplikasi ini sangat saya rekomendasikan untuk yang mau berbelanja online karena sangat mudah pentunjuknya. Jaya selalu shopee 👍🏻👍🏻",5,Positif
"Saya baru tau ada toko megic ataupun penipuan, oh mengapa banyak banget. Jadi tolong ya pihak shopee jangan bikin pengguna kecewa. Dan satu lagi setiap saya pesan ataupun checkout dengan harga murah pesanan selalu tidak sesuai.",5,Positif
"Ga tau knp kurir SPX sekarang nganterin nya lama bgt lebih dari tanggal estimasi. Ada yg sampai paket ga dateng"", akhirnya saya mengajukan kembalian. Saran aja Shopee cantumkan nomor telpon kurir nya biar mudah di hubungin, pembeli juga nyaman.",3,
"Lelet bgt sekarang anjir,mau cari satu produk yg fix aj butuh waktu lama,kdng buat kembali aj gk bisa,ngerusak produk sendiri ini namanya,makin lama makin sedikit yg bakal make shopee,gw yg harusnya bisa beli 3-4 barng,sekrng beli satu barang nyari nya susah bgt, terkendala aplikasi Gk usah lah pake shopee live,shopee video",3,
"Aplikasi nya udah bagus,cuman yg bikin kesal itu adalah spx hemat nya itu,nunggunya lama banget sumpah,udh hampir 2minggu gak nyampe"",untuk pihak shopee hapus aja pengiriman untuk spx hemat,dan pengiriman reguler tolong di beri diskon lagi",1,Negatif
"Sekarang pengirimannya lama banget. Sebelum2nya 3 atau 4 hari biasnya pesenan udh sampe ke pembeli, tapi sekarang pengiriman bisa lebih dari 5 hari bahkan seminggu. Tolong ya utk ekspedisi pengiriman diperbaiki! Karna sekarang udh gabisa milih mau pake jnt atau spx, sekarang pengrimannya rekomendasi dari shopee jadi langsung otomatis pake spx, yg mana kalo pake spx itu LAMAAA BANGETTT COKKK! walaupun belinya bukan di hari event!",3,
"expedisi nya skrg sdh cukup cepat sekali waktu pengiriman, mau yg default atau option sama cepat",5,Positif
"Notifikasi dikembalikan ke semula saja yang ada jumlahnya. Jangan cuma simbol titik. Menurut saya kurang menarik, apalagi notifikasi terpenting ada pada notifikasi toko. Jadi untuk meyakinkan kalau ada tidaknya notifikasi harus ke notifikasi toko terlebih dahulu",5,Positif
"Semenjak pihak shopee monopoli pengiriman, otomatis selalu pengiriman pake SPX. paket selalu lama sampai kerumah, beda ketika belum otomatis SPX. Kembalikan JNE J&T anteraja sicepat seperti dulu.",1,Negatif
"Saya member platinum shopee, tp akhir akhir ini saya kecewa dengan shoppe, karena dulu saya bisa merubah ekspedisi yang saya inginkan untuk mengirim paket saya, tetapi sekarang tidak bisa, sebagai pelanggan platinum saya tentu telah memahami mana ekspedisi yang terbaik, di shopee saya diberi kebebasan untuk memilih yang kita inginkan, baik dari segi pembayaran maupun lainnya, tetapi kenapa dalam hal pemilihan ekspedisi yang mengirim paket kita agar cepat sampai, saya merasa dibatasi",5,Positif
"TOLONG HAPUS ANTER AJA DARI LIST JASA PENGIRIMAN/EKSPEDISI DIAPLIKASI SHOPEE. TIDAK SEKALI DUA KALI PAKET SAYA DITELANTARKAN DAN LELET DALAM PENGIRIMAN PAKETNYA !!! Update Semakin lama pelayanannya semakin menurun, terlebih untuk jasa kirim internalnya. Biasanya waktu antar 2-4 hari, sekarang malah jadi 6-8 hari. Saya sudah mengalah, biar konsumen saja yang menjemput paketnya karena terlalu lama di transit kota terakhir (berdasarkan update aplikasinya), malah tidak bisa.",1,Negatif
"Dengan hadirnya SPX belanja di shopi sudah tidak asik lg khususnya bagi kami yg berada di pulau, biasanya paket 1 minggu sampai, kami hrus menunggu sampai 1 bulan, diperlukan peninjauan kembali utk mengaplikasikan SPX d pulau. JNT adalah solusi terbaik",2,Negatif
"Aplikasi nya berat ,,kurang responsif Mending ilangin shopee video Berat banget aplikasi nya,,makin lemot aja ,, proses estimasi pengiriman nya Kelamaan ,,di seller bisa 2 hari baru kirim",5,Positif
"ekspedisinya di pilihin langsung dari Shopee, kalo mau pake yg lain, ga kena gratis ongkir, sedangkan ekspedisi yg dipake ga ada kurir yg ngantar sampe rumah. kalo mengharuskan pake ekspedisi bawaan Shopee, seharunya pastikan dulu bener ke jangkau sampe rumah atau ngga, 3 paket COD semuanya dibatalkan sistem karena cuma sampe dc nya doang, ga ada kurir yg antar sampe rumah. besok mau dicoba lagi sampe barang bener-bener sampe ke saya, ga tau nantinya bakal siapa yg paling banyak rugi.",1,Negatif
"terlalu banyak pesan notif gak jelas ,terlalu mengada-ada notifikasi promo palsu !! dan yang lebih parahnya lagi bertahun-tahun belanja pakai aplikasi shopee tapi untuk mengajukan paylater gak pernah di ACC !!",1,Negatif
"Belanja online ya cm di shopee...sangat mudah dan banyak produk berkualitas dg harga yg merakyat.. Pokoknya aman dan amanah walaupun beli lewat online seller nya ramah kurir nya jg ramah dan sabar bgt dg adanya Shoppe sy terbantu bgt krn gak usah ribet keluar rumah, tinggal cari sesuai kebutuhan",5,Positif
"Saya kasih 🌟 dulu, soalnya spaylater & spinjam saya dananya belum dikembalikan dan belum naik lagi limitnya🙏 terimakasih.. update: udah 1 tahun lebih spaylater & spinjam tidak bisa di gunakan, iya sih, udh ad saldonya, tapi kn tidak terpakai, jd sampah !! Kecewa pdhal udh member platinum",1,Negatif
"Sistem pengiriman lebih sering memakan waktu lama dan terkadang stuck, hanya mengandalkan garansi tepat waktu, namun waktu yg ditentukan garansi tepat waktu selalu dirubah ditengah proses pengiriman ketika dilihat paket yg lagi proses mengalami stuck, jadi gtw (garansi tepat waktu) yg jadi selogan Shopee hanya sekedar selogan, beberapa kali mengalami perubahan jadwal gtw",2,Negatif
"Aplikasi penipuan, baru 1 jam check out, karena salah pesanan, mau dibatalkan malah nunggu persetujuan penjual, Posisinya belum dikonfirmasi penjual, bagusan aplikasi sebelah. Kalau belum dikonfirmasi dicancel bisa.",1,Negatif
Awalnya bagus tapi makin kesini kok malah di buat susah untuk milih jenis ekspedisi. Saya gak suka JNE disini kurirnya jelek gak mau antar smpe rumah. Tapi karena otomatis di pilihkan Shope jadi gak bisa ganti ekspedisi. Jne buruk,3,
"Saya sangat puas belanja di shoope,, barang sesuai,, harga bersaing,, pelayanan bagus,, cuman kenapa beberapa hari belakang ini sampai sekarang voucher gratis ongkir dan voucher lainya hanya untuk nominal tertentu, setelah di check out harga jadi mahal di atas toko offline/toko luar an,, mohon perbaikan pelayanan seperti sebelumnya supaya pelanggan belanja di shoope semakin meningkat 🙏",5,Positif
"Shopee tambah tidak bagus dulu bisa milih jasa kirim sekarang otomatis akhirnya pengiriman sangat lambat. Saya pesan 2 barang berbeda dihari yang sama tapi shopee otomatis memilih kurir berbeda satu J&t dan satu SPX. Yang J&t udah sampai 1 minggu yang lalu SPX sampai sekarang belum sampai padahal sudah lewat estimasi. Cukup kecewa dengan shopee yang sekarang tidak bisa pilih jasa pengiriman, semoga kedepannya bisa diperbaiki.",1,Negatif
"sekarang di shopee banyak penipu, penjual tidak amanah, pesan barang khususnya elektronik banyak yang palsu atau tidak tersedia padahal di iklan atau di etalase ada. Tolong perbaiki keamanan dan kenyamanan pelanggan saat belanja agar tingkat kepercayaan kembali 100%, soalnya jika sudah tertipu sangat merugikan sekali",1,Negatif
Apa guna nya jadi member platinum kalo paket masih aja terlantar sudah lebih 2 hari dari estimasi dan saya bulan ini sudah mengalami 3 x paket terlambat jauh dari estimasi. Kacauuu,1,Negatif
"Makin kesini makin berat nih apk nya, terjadi kesalahan, tidak terhubung dll padahal WiFi lancar bgt (20mbps),Hh juga Ram 4+3Gb. Opsi pengiriman hanya yg rekomendasi shopee baru voucher gratis ongkir bisa di gunakan,kalau ganti jaskim lain voucher tidak berlaku. Mau pake versi lite opsi pengiriman,opsi pembayaran spay, tracking paket tidak ada.🥱😔😔 Makin kesini makin ribet, dan ruwet Lama² pindah server.",1,Negatif
"Terima kasih Shopee, kasus permasalahan saya sudah selesai. Saran saya tingkatkan lagi pada pelayanan pengiriman Shopee express nya. Agar customer merasa lebih nyaman dan aman. Untuk yang membeli dengan metode COD harap membuat video unboxing dan foto nomor resi dengan baik, agar saat ada kendala dapat di selesaikan dengan cepat. Good job",4,Positif
"Bayar belum jatuh tempo sudah di bayar ( dan slalu tepat waktu ) tapi kenapa limit ngga naek ,terus cair tgl 11 kenapa tgl pembayaran tgl 10 ,yg lebih membingung kan pas mau beli pulsa kenapa ( LIMIT MU KADARLUASA ) sedangkan sblum nya masih ada / bisa ,harus nya cs yg slalu bayar tepat waktu di perhatikan booz ,soal nya saya belum ngecewain ke pihak SHOPEE dan TOKO yg ada di Shopee ,Mudah2 kedepan nya di kasih nyaman biar bisa jadi b 5 🙏",1,Negatif
"SEMOGA DITANGGAPI : Mohon untuk lebih selektip lagi dalam perihal kerja sama dengan ekspedisi. Terjadi keterlambatan sampai 2 hari ,bukan ada konvensasi pengganti keterlambatan berupa voucher. Namun mesti dilihat juga costumer CO pun ngitung waktu pengirimannya. Ada beberapa yg emang perlu pas tanggal estimasi di gunakan. Dalam kasus ini barang udah di pick tgl 16 jam 9 pagi, tahu² ada notif gagal kirim di jam 9 malam. 12 jam barang ""jalan²"".yg akhirnya dikirim besoknya.",5,Positif
"Shopee emang bagus dari awal, namun semenjak adanya jasa kirim spx, banyak pesanan yg ga sampai tujuan truss katanya bisa pilih opsi pengiriman nyatanya sistem yg ngatur, jadi tolong kembalikan hak jasa kirim j&t.",3,
"Update terbaru sudah! Jaringan full 4G lte! Clear cache sudah!!!! Tolong kenapa iyah tetap ajah banyak mal fungsi diantaranya: #gak bisa live chat!!!??? #gak bisa nonton live shopee!!!??? #gak bisa transaksi dengan shopepay!!!??? Yang ada cuma muncul buffring white screen dan tulisan "" sedang mendownload fitur ""!!!!, padahal di pake nonton video shopee lancar??? Tolong segera di atasi pihak development untuk unit xiaomi Civi2!!!????",1,Negatif
